事件ID,事件描述,事件上报时机,事件上报参数,UI触发点位截图,数据结构,文字备注,web 测试,ios 测试,android 测试
数据结构,,,,,"// 公参
// 1. App
{
    ""event_name"": ""xxx"",
    ""args"": {
        ""key1"": ""value1"",
        ""key2"": ""value2"",
        ""key3"": ""value3"",
    },
    ""ext"": {
        ""key1"": ""value1"",
        ""key2"": ""value2"",
        ""key3"": ""value3"",
    },
    ""logAt"": 1720172242327,
    ""session_id"": ""e_0001"",
    ""properties"": {
        ""user_id"": ""2407044705113"",
        ""language"": ""en_US"",
        ""network_id"": 1, (蜂窝网络：0，Wi-Fi：1)
        ""device_id"": ""55f7e3f3-b69c-40b4-8593-865093285d62"",
        ""app_version"": ""2.0.0"",
        ""screen_width"": 1080,
        ""screen_height"": 2258,
        ""portal_code"": ""CA"",
        ""os"": ""Android"",
        ""os_version"": ""13"",
        ""model"": ""21091116AC"",
        ""brand"": ""REDMI"",
        ""timezone"": ""America/New_York"",
        ""version_type"": ""ai_fashion""
    }
}

// 2. Web
{
    ""event_name"": ""xxx"",
    ""args"": {
        ""key1"": ""value1"",
        ""key2"": ""value2"",
        ""key3"": ""value3"",
    },
    ""ext"": {
        ""key1"": ""value1"",
        ""key2"": ""value2"",
        ""key3"": ""value3"",
    },
    ""logAt"": 1720172242327,
    ""session_id"": ""e_0001"",
    ""properties"": {
        ""url"" : ""https://xxx.xxx"",
        ""param"":""xxxx"",
        ""user_id"": ""2407044705113"",
        ""language"": ""en_US"",
        ""network_id"": 1, (蜂窝网络：0，Wi-Fi：1)
        ""device_id"": ""55f7e3f3-b69c-40b4-8593-865093285d62"",
        ""app_version"": ""1.1.0-debug"",
        ""screen_width"": 1080,
        ""screen_height"": 2258,
        ""portal_code"": ""CA"",
        ""os"": ""Android"",
        ""os_version"": ""13"",
        ""model"": ""21091116AC"",
        ""brand"": ""REDMI"",
        ""timezone"": ""America/New_York"",
        ""version_type"": ""ai_fashion""
    }
}",,,,
,,,,,,,,,
app_launch,,冷 / 热 启动,,,"{
    ""args"": {
        ""session_duration"": 401.14592599868774
    }
}","数据类型 int
单位 毫秒",,☑️,☑️
c_home_search,首页点击搜索按钮,,ext.search_content,"image.png,image.png","{
    ""ext"": {
        ""search_content"": ""xxx""
    }
}",,,☑️,☑️
c_shop_search,shop页面点击搜索按钮,,ext.search_content,"image.png,image.png,image (1).png,image.png","{
    ""ext"": {
        ""search_content"": ""xxx""
    }
}",在shop这个tab里的搜索，唤起搜索中间页的，统一都记录到这个文件里,,☑️,☑️
v_shop_feeds,shop页中feeds曝光,,"args.spu
ext.recommend.item_type
ext.recommend.item_id
ext.recommend.trace_info
",image.png,"{
    ""args"": {
        ""spu"": [
            ""spu_1"",
            ""spu_2""
        ]
    },
    ""ext"": {
        ""recommend"": [
            {
                ""item_type"": ""post"",
                ""item_id"": ""post_code_1"",
                ""trace_info"": ""xxx""
            },
            {
                ""item_type"": ""post"",
                ""item_id"": ""post_code_2"",
                ""trace_info"": ""xxx""
            },
            {
                ""item_type"": ""product"",
                ""item_id"": ""spu_1"",
                ""trace_info"": ""xxx""
            },
            {
                ""item_type"": ""product"",
                ""item_id"": ""spu_2"",
                ""trace_info"": ""xxx""
            }
        ]
    }
}",,,☑️,☑️
c_shop_feeds,shop页中feeds点击卡片,,"args.spu
ext.recommend.item_type
ext.recommend.item_id
ext.recommend.trace_info",,"// 点击的卡片是product：
{
    ""args"": {
        ""spu"": ""spu_1""
    },
    ""ext"": {
        ""recommend"": {
            ""item_type"": ""product"",
            ""item_id"": ""post_code_1"",
            ""trace_info"": ""xxx""
        }
    }
}",,,☑️,☑️
c_add_cart,商品加购,加购按钮点击,"args: page\module\spu\sku
ext: quantity（新增）",image.png,"{
    ""args"": {
        ""page_key"": ""home_feeds"", //""category"" //""product_detail"" //""tryon_rusult"" //""product_post""//""shop_feeds""//""creator_home_shop"", ""//""shop_style"", //""shop_occasion"", //""shop_crowd"", //""shop_brand"", //""shop_season"", 
        ""spu"": ""spu_1""
        ""sku"": ""sku_1""
    },
    ""ext"": {
        ""quantity"": 1
    }
}","1、首页Feed流
2、分类页
3、商品详情
4、试穿结果页
5、帖子详情
6、shop Feed流
7、品牌创作者商品主页：creator_home_shop
8、shop_style
9、shop_occasion
10、shop_crowd
11、shop_brand
12、shop_season",,☑️,☑️
v_product_detail,商详页曝光,,,,"{
    ""args"": {
        ""spu"": ""spu_1""
        ""sku"": ""sku_1""
    }
}",,,☑️,☑️
c_tryon,点击try on,,"args.page_key
args.post
args.spu",专题主页-2.png,"// 1.1 首页 feeds 流（post）
{
    ""args"": {
        ""page_key"": ""home_feeds"",
        ""post"": ""post_code_1""
    }
}
// 1.2 首页 feeds 流（spu）
{
    ""args"": {
        ""page_key"": ""home_feeds"",
        ""spu"": ""spu_1""
    }
}
// 2.1 明星（post）
{
    ""args"": {
        ""page_key"": ""star"",
        ""post"": ""post_code_1""
    }
}
// 3.1 杂志（post）
{
    ""args"": {
        ""page_key"": ""magazine"",
        ""post"": ""post_code_1""
    }
}
// 4.1 品牌（post)
{
    ""args"": {
        ""page_key"": ""brand"",
        ""post"": ""post_code_1""
    }
}
// 5.1 kol（kol)
{
    ""args"": {
        ""page_key"": ""kol"",
        ""post"": ""post_code_1""
    }
}
// 6.1 商详页
{
    ""args"": {
        ""page_key"": ""product_detail"",
        ""spu"": ""spu_1"",
        ""sku"": ""sku_1""
    }
}","
增加了KOL帖子的try on",,☑️,☑️
