事件ID,事件描述,事件上报时机,事件上报参数,UI触发点位截图,数据结构,文字备注,web 测试,ios 测试,android 测试
数据结构,,,,,"// 公参
// 1. App
{
    ""event_name"": ""xxx"",
    ""args"": {
        ""key1"": ""value1"",
        ""key2"": ""value2"",
        ""key3"": ""value3"",
    },
    ""ext"": {
        ""key1"": ""value1"",
        ""key2"": ""value2"",
        ""key3"": ""value3"",
    },
    ""logAt"": 1720172242327,
    ""session_id"": ""e_0001"",
    ""properties"": {
        ""user_id"": ""2407044705113"",
        ""language"": ""en_US"",
        ""network_id"": 1, (蜂窝网络：0，Wi-Fi：1)
        ""device_id"": ""55f7e3f3-b69c-40b4-8593-865093285d62"",
        ""app_version"": ""2.0.0"",
        ""screen_width"": 1080,
        ""screen_height"": 2258,
        ""portal_code"": ""CA"",
        ""os"": ""Android"",
        ""os_version"": ""13"",
        ""model"": ""21091116AC"",
        ""brand"": ""REDMI"",
        ""timezone"": ""America/New_York"",
        ""version_type"": ""ai_fashion""
    }
}

// 2. Web
{
    ""event_name"": ""xxx"",
    ""args"": {
        ""key1"": ""value1"",
        ""key2"": ""value2"",
        ""key3"": ""value3"",
    },
    ""ext"": {
        ""key1"": ""value1"",
        ""key2"": ""value2"",
        ""key3"": ""value3"",
    },
    ""logAt"": 1720172242327,
    ""session_id"": ""e_0001"",
    ""properties"": {
        ""url"" : ""https://xxx.xxx"",
        ""param"":""xxxx"",
        ""user_id"": ""2407044705113"",
        ""language"": ""en_US"",
        ""network_id"": 1, (蜂窝网络：0，Wi-Fi：1)
        ""device_id"": ""55f7e3f3-b69c-40b4-8593-865093285d62"",
        ""app_version"": ""1.1.0-debug"",
        ""screen_width"": 1080,
        ""screen_height"": 2258,
        ""portal_code"": ""CA"",
        ""os"": ""Android"",
        ""os_version"": ""13"",
        ""model"": ""21091116AC"",
        ""brand"": ""REDMI"",
        ""timezone"": ""America/New_York"",
        ""version_type"": ""ai_fashion""
    }
}",,,,
,,,,,,,,,
c_home_search,首页点击搜索按钮,,ext.search_content,image.png,"{
    ""ext"": {
        ""search_content"": ""xxx""
    }
}",,☑️,☑️,☑️
v_home_star,明星曝光,,args.star,image.png,"{
    ""args"": {
        ""star"": [
            ""star_id_1"",
            ""star_id_2"",
            ""star_id_3"",
            ""star_id_4"",
            ""star_id_5""
        ]
    }
}","1、首页的曝光
2、列表页的曝光",☑️,☑️,☑️
c_home_star,首页明星点击,,args.star,image.png,"{
    ""args"": {
        ""star"": ""star_id_1""
    }
}",,☑️,☑️,☑️
v_home_magazine,杂志曝光,,args.magazine,image.png,"{
    ""args"": {
        ""magazine"": ""magazine_id""
    }
}","1、首页的曝光
2、列表页的曝光",☑️,☑️,☑️
c_home_magazine,首页杂志点击,,args.magazine,,"{
    ""args"": {
        ""magazine"": ""magazine_id""
    }
}",,☑️,☑️,☑️
v_home_brand,品牌曝光,,args.brand,image.png,"{
    ""args"": {
        ""brand"": [
            ""brand_id_1"",
            ""brand_id_2"",
            ""brand_id_3"",
            ""brand_id_4"",
            ""brand_id_5""
        ]
    }
}","1、首页的曝光
2、列表页的曝光",v_Home_Brand 改为 v_home_brand,☑️,☑️
c_home_brand,首页品牌点击,,args.brand,,"{
    ""args"": {
        ""brand"": ""brand_id_1""
    }
}",,☑️,☑️,☑️
v_home_feeds,首页feeds曝光,,"args.post
args.spu
ext.recommend.item_type
ext.recommend.item_id
ext.recommend.trace_info
","image.png,image.png","{
    ""args"": {
        ""post"": [
            ""post_code_1"",
            ""post_code_2""
        ],
        ""spu"": [
            ""spu_1"",
            ""spu_2""
        ]
    },
    ""ext"": {
        ""recommend"": [
            {
                ""item_type"": ""post"",
                ""item_id"": ""post_code_1"",
                ""trace_info"": ""xxx""
            },
            {
                ""item_type"": ""post"",
                ""item_id"": ""post_code_2"",
                ""trace_info"": ""xxx""
            },
            {
                ""item_type"": ""product"",
                ""item_id"": ""spu_1"",
                ""trace_info"": ""xxx""
            },
            {
                ""item_type"": ""product"",
                ""item_id"": ""spu_2"",
                ""trace_info"": ""xxx""
            }
        ]
    }
}",,"""ext"":{""trace_info"":[{""reason"":""common"",""position"":4,""item_type"":""post"",""item_id"":""POST2020710893065179136"",""trace_info"":""se=1770620121407_2512266659381;pos=4;src=trending_post;tr=;re=0.1000;pre=0.0400;rank=0.0400""},
改为
home feeds：
       ""ext"": {
        ""recommend"": [
            {
                ""item_type"": ""post"",
                ""item_id"": ""post_code_1"",
                ""trace_info"": ""xxx""
            },
            {
                ""item_type"": ""post"",
                ""item_id"": ""post_code_2"",
                ""trace_info"": ""xxx""
            },
            {
                ""item_type"": ""product"",
                ""item_id"": ""spu_1"",
                ""trace_info"": ""xxx""
            },
            {
                ""item_type"": ""product"",
                ""item_id"": ""spu_2"",
                ""trace_info"": ""xxx""
            }
        ]
    }",☑️,☑️
